collected_at,route_id,route_name,current_min,avg_min,delta_min,status
2026-07-01T01:54:29Z,12,A59 → Kennedybrücke,5.7,6.9,-1.2,fast
2026-07-01T01:54:29Z,149,Kennedybrücke → A59,3.8,5.7,-1.9,fast
2026-07-01T01:54:29Z,14,Kölnstr. → Bertha,5.9,6.9,-1.0,fast
2026-07-01T06:13:21Z,12,A59 → Kennedybrücke,20.9,6.9,14.0,slow
2026-07-01T06:13:21Z,149,Kennedybrücke → A59,13,5.7,7.3,slow
2026-07-01T06:13:21Z,14,Kölnstr. → Bertha,10,6.9,3.1,moderate
2026-07-01T10:12:13Z,12,A59 → Kennedybrücke,11.7,6.9,4.8,slow
2026-07-01T10:12:13Z,149,Kennedybrücke → A59,9.4,5.7,3.7,slow
2026-07-01T10:12:13Z,14,Kölnstr. → Bertha,8.6,6.9,1.7,moderate
2026-07-01T12:46:22Z,12,A59 → Kennedybrücke,13.5,6.9,6.6,slow
2026-07-01T12:46:22Z,149,Kennedybrücke → A59,12.1,5.7,6.4,slow
2026-07-01T12:46:22Z,14,Kölnstr. → Bertha,12.2,6.9,5.3,slow
2026-07-01T15:29:46Z,12,A59 → Kennedybrücke,17.6,7,10.6,slow
2026-07-01T15:29:46Z,149,Kennedybrücke → A59,10.1,5.7,4.4,slow
2026-07-01T15:29:46Z,14,Kölnstr. → Bertha,15.3,6.9,8.4,slow
2026-07-01T17:28:04Z,12,A59 → Kennedybrücke,10.1,7,3.1,moderate
2026-07-01T17:28:04Z,149,Kennedybrücke → A59,7.3,5.7,1.6,moderate
2026-07-01T17:28:04Z,14,Kölnstr. → Bertha,11.9,6.9,5.0,slow
2026-07-01T19:16:38Z,12,A59 → Kennedybrücke,5.9,7,-1.1,fast
2026-07-01T19:16:38Z,149,Kennedybrücke → A59,5.3,5.7,-0.4,fast
2026-07-01T19:16:38Z,14,Kölnstr. → Bertha,5.5,6.9,-1.4,fast
2026-07-01T20:55:10Z,12,A59 → Kennedybrücke,5.9,7,-1.1,fast
